DF,0.05,0.01
?,1.645,2.326
1,6.314,31.821
2,2.92,6.965
3,2.353,4.541
4,2.132,3.747
5,2.015,3.365
6,1.943,3.143
7,1.895,2.998
8,1.86,2.896
9,1.833,2.821
10,1.812,2.764
11,1.796,2.718
12,1.782,2.681
13,1.771,2.65
14,1.761,2.624
15,1.753,2.602
16,1.746,2.583
17,1.74,2.567
18,1.734,2.552
19,1.729,2.539
20,1.725,2.528
21,1.721,2.518
22,1.717,2.508
23,1.714,2.5
24,1.711,2.492
25,1.708,2.485
26,1.706,2.479
27,1.703,2.473
28,1.701,2.467
29,1.699,2.462
30,1.697,2.457
60,1.671,2.39
120,1.658,2.358
1000,1.646,2.33
